date,date_time,home_team,away_team,venue,home_score,away_score,margin,outcome,final,home_odds,away_odds
2009-06-19,2009-06-19 19:40:00,Essendon,Melbourne,Marvel Stadium,131,83,48,1.0,False,1.24,3.93
2009-06-20,2009-06-20 19:10:00,Sydney,Collingwood,Accor Stadium,66,89,-23,0.0,False,1.93,1.75
2009-06-21,2009-06-21 14:40:00,Fremantle,Geelong,Domain Stadium,75,94,-19,0.0,False,7.25,1.08
2009-06-26,2009-06-26 19:40:00,Essendon,Carlton,MCG,136,67,69,1.0,False,2.55,1.48
2009-06-27,2009-06-27 14:10:00,Collingwood,Fremantle,MCG,169,85,84,1.0,False,1.12,5.94
2009-06-27,2009-06-27 14:40:00,Adelaide,Sydney,AAMI Stadium,85,69,16,1.0,False,1.25,3.75
2009-06-27,2009-06-27 17:40:00,West Coast,Hawthorn,Domain Stadium,107,87,20,1.0,False,2.77,1.42
2009-06-27,2009-06-27 19:10:00,Brisbane,Melbourne,Gabba,111,56,55,1.0,False,1.06,8.25
2009-06-28,2009-06-28 13:10:00,Geelong,Port Adelaide,GMHBA Stadium,122,88,34,1.0,False,1.05,8.63
2009-06-28,2009-06-28 14:10:00,North Melbourne,Western Bulldogs,MCG,86,108,-22,0.0,False,5.03,1.16
2009-06-28,2009-06-28 16:40:00,St Kilda,Richmond,Marvel Stadium,92,36,56,1.0,False,1.07,7.63
2009-07-03,2009-07-03 19:40:00,Collingwood,Essendon,MCG,102,67,35,1.0,False,1.5,2.5
2009-07-04,2009-07-04 14:10:00,Melbourne,West Coast,MCG,112,92,20,1.0,False,1.96,1.75
2009-07-04,2009-07-04 14:40:00,Port Adelaide,Brisbane,AAMI Stadium,128,80,48,1.0,False,2.3,1.57
2009-07-04,2009-07-04 19:10:00,Richmond,Adelaide,People First Stadium,85,102,-17,0.0,False,3.78,1.25
2009-07-04,2009-07-04 19:10:00,Western Bulldogs,Hawthorn,Marvel Stadium,133,45,88,1.0,False,1.4,2.8
2009-07-05,2009-07-05 13:10:00,Sydney,North Melbourne,SCG,100,85,15,1.0,False,1.31,3.32
2009-07-05,2009-07-05 14:40:00,Fremantle,Carlton,Domain Stadium,100,115,-15,0.0,False,2.28,1.57
2009-07-05,2009-07-05 15:10:00,St Kilda,Geelong,Marvel Stadium,91,85,6,1.0,False,2.3,1.56
2009-07-10,2009-07-10 19:40:00,Western Bulldogs,Collingwood,Marvel Stadium,110,111,-1,0.0,False,1.56,2.34
2009-07-11,2009-07-11 14:10:00,Carlton,Richmond,MCG,109,89,20,1.0,False,1.25,3.76
2009-07-11,2009-07-11 14:10:00,Sydney,Essendon,SCG,72,107,-35,0.0,False,1.66,2.14
2009-07-11,2009-07-11 19:10:00,Adelaide,Fremantle,AAMI Stadium,130,13,117,1.0,False,1.14,5.44
2009-07-11,2009-07-11 19:10:00,Brisbane,Geelong,Gabba,108,65,43,1.0,False,2.28,1.57
2009-07-12,2009-07-12 12:40:00,West Coast,St Kilda,Domain Stadium,70,90,-20,0.0,False,4.7,1.17
2009-07-12,2009-07-12 13:10:00,Hawthorn,North Melbourne,UTAS Stadium,73,64,9,1.0,False,1.5,2.5
2009-07-12,2009-07-12 14:10:00,Melbourne,Port Adelaide,MCG,101,90,11,1.0,False,2.89,1.38
2009-07-17,2009-07-17 19:40:00,Essendon,Western Bulldogs,Marvel Stadium,70,103,-33,0.0,False,3.1,1.36
2009-07-18,2009-07-18 14:10:00,Carlton,Sydney,Marvel Stadium,124,63,61,1.0,False,1.23,3.91
2009-07-18,2009-07-18 14:10:00,Geelong,Melbourne,GMHBA Stadium,117,71,46,1.0,False,1.04,10.25
2009-07-18,2009-07-18 17:40:00,Fremantle,Brisbane,Domain Stadium,47,62,-15,0.0,False,3.14,1.34
